cartodb_id,the_geom,company,valuation,date_joined,country,industry,address,latitude,longitude,select_investors
8,0101000020E610000072637AC2121A5D40D36A48DC63854340,Didi Kuaidi,15,2014-12-31 00:00:00+00,China,On-Demand,Beijing,39.04211,116.407395,"Matrix Partners, Tiger Global Management, Softbank Corp.,"
94,0101000020E610000087776FFB54D051C0A26CDB4136344540,Actifio,1.1,2014-03-24 00:00:00+00,United States,Big Data,"333 Wyman Street, Waltham, MA 02451 USA",42.4079058,-71.2551869,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures"
1,0101000020E610000022DB9EC5F79A5EC0C485F2F400E34240,Uber,51,2013-08-23 00:00:00+00,United States,On-Demand,"Uber HQ, Market Street, San Francisco, CA",37.7734667,-122.4213728,"Lowercase Capital, Benchmark Capital, Google Ventures"
2,0101000020E6100000325A475513135D40DC847B65DEFA4340,Xiaomi,46,2011-12-21 00:00:00+00,China,Hardware,"Haidian District, Beijing, China",39.959912,116.298055,"Digital Sky Technologies, QiMing Venture Partners, Qualcomm Ventures"
3,0101000020E6100000EABB6C857A995EC0694881AA76E34240,Airbnb,25.5,2011-07-26 00:00:00+00,United States,eCommerce/Marketplace,"Airbnb HQ, Brannan Street, San Francisco, CA",37.7770589,-122.3981031,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures"
4,0101000020E6100000473D9F5CAE895EC0509D58F157BA4240,Palantir,20,2011-05-05 00:00:00+00,United States,Big Data,"Palantir Technologies, University Avenue, Palo Alto, CA",37.4558088,-122.1512672,"RRE Ventures, Founders Fund, In-Q-Tel"
5,0101000020E6100000DD018D88988F5DC0CA5D3A9CAF064140,Snapchat,16,2013-12-11 00:00:00+00,United States,Social,"Snapchat HQ, Los Angeles, CA",34.0522342,-118.2436849,"Benchmark Capital, General Catalyst Partners, Lightspeed Venture Partners"
6,0101000020E61000009CF80F8E7E685340B459F5B9DADA2940,Flipkart,15,2012-08-06 00:00:00+00,India,eCommerce/Marketplace,"6/B, Mahatyagi Laksmidevi Rd, Koramangala 1A Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034, India",12.92745,77.6327243,"Accel Partners, Digital Sky Technologies, Iconiq Capital"
7,0101000020E61000000917F2086E585E406F66F4A3E11C3F40,China Internet Plus Holding,15,2015-12-22 00:00:00+00,China,eCommerce/Marketplace,"Minhang, Shanghai, China",31.112818,121.381716,"DST Global, Trustbridge Partners, Capital Today"
9,0101000020E6100000B228ECA2E8945DC0C64C47A57DF54040,SpaceX,12,2012-12-01 00:00:00+00,United States,Other Transportation,"12675 Crenshaw Blvd, Hawthorne, CA 90250",33.9178969,-118.326699,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
116,0101000020E610000048C5FF1D515E5E40A279008BFC3A3F40,Fanli,1,2015-04-20 00:00:00+00,China,eCommerce/Marketplace,Shanghai,31.230416,121.473701,"QiMing Venture Partners, Steam boat Ventures"
13,0101000020E6100000174B47EF8A995EC07F74FBF6BFE44240,WeWork,10,2014-02-03 00:00:00+00,United States,Facilities,"156 2nd St, San Francisco, CA 94105",37.7871083,-122.3991049,"T. Rowe Price, Benchmark Capital, Wellington Management"
14,0101000020E610000027F38FBEC97C5C408152FEFF49893640,DJI Innovations,10,2015-05-06 00:00:00+00,China,Hardware,"Gao Xin Nan Si Dao, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China",22.5362854,113.9498135,"Accel Partners, Sequoia Capital"
15,0101000020E61000006400A8E2C6895EC02654707841B44240,Theranos,9,2014-07-13 00:00:00+00,United States,Healthcare,"1701 Page Mill Rd, Palo Alto, CA 94304",37.408248,-122.152764,"Draper Fisher Jurvetson, Tako Ventures, ATA Ventures"
16,0101000020E6100000F0F55A75429A5EC016821C9430E44240,Spotify,8.53,2011-06-17 00:00:00+00,Sweden,Internet Software & Services,"988 Market St, San Francisco, CA 94109",37.7827325,-122.4103063,"Horizons Ventures, Norwest Venture Partners, Technology Crossover Ventures"
17,0101000020E6100000918A10687A995EC07E10131E7EE34240,Lyft,5.5,2015-03-12 00:00:00+00,United States,On-Demand,"568 Brannan St, San Francisco, CA 94107",37.7772863,-122.3980961,"Founders Fund, Mayfield Fund, Floodgate"
18,0101000020E6100000EAF2F79C85875EC03917354EF9D14240,Intarcia Therapeutics,5.5,2014-04-01 00:00:00+00,United States,Healthcare,"24650 Industrial Blvd, Hayward, CA 94545",37.6404207,-122.1175301,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
20,0101000020E610000093A8177C9AB5524026659CD035C12940,Olacabs,5,2014-10-27 00:00:00+00,India,On-Demand,"# 6-7-8 FIRST FLOOR MANASA TOWER MG ROAD MANGALORE, PVS CIRCEL, MG Road, Kodailbail, Mangaluru, Karnataka 575003, India",12.8773637,74.837554,"Accel Partners, Matrix Partners, Sequoia Capital"
21,0101000020E6100000C4C9FD0E45C25F40E3D2E759FFBF4240,Coupang,5,2014-05-28 00:00:00+00,South Korea,eCommerce/Marketplace,"736-6 Yeoksam-dong, Gangnam-gu, Seoul, South Korea",37.4999802,127.035465,"Sequoia Capital, Founder Collective, Wellington Management"
22,0101000020E610000048C5FF1D515E5E40A279008BFC3A3F40,Ele.me,4.5,2015-08-28 00:00:00+00,China,On-Demand,Shanghai,31.230416,121.473701,"Sequoia Capital China, GSR Ventures, Horizons Ventures"
29,0101000020E6100000EF26AE194F935EC05496D7005BEB4240,Tanium,3.5,2015-03-31 00:00:00+00,United States,Cybersecurity,"2200 Powell St, Emeryville, CA 94608",37.8387147,-122.3017029,"Andreessen Horowitz, Nor-Cal Invest"
10,0101000020E6100000E5A4E661D7995EC037BA9404F2E24240,Pinterest,11,2012-05-19 00:00:00+00,United States,Social,"808 Brannan St, San Francisco, CA 94103",37.7730108,-122.4037709,"Andreessen Horowitz, Bessemer Venture Partners, Firstmark Capital"
11,0101000020E610000082BCC39217995EC08529255F64E34240,Dropbox,10,2011-10-05 00:00:00+00,United States,Internet Software & Services,"185 Berry St #400, San Francisco, CA 94107",37.7765006,-122.3920638,"Accel Partners, Greylock Partners, Index Ventures"
24,0101000020E61000007A94A531B5995EC034492C2977E54240,Cloudera,4.1,2014-03-18 00:00:00+00,United States,Big Data,"433 California St #1100, San Francisco, CA 94104",37.792699,-122.4016842,"Greylock Partners, Ignition Partners, Google Ventures"
25,0101000020E610000057C38F7B84C15F40996F33CB54C24240,Yello Mobile,4,2014-11-11 00:00:00+00,South Korea,Mobile Software & Services,"139 Dosan-daero, Gangnam-gu, 서울특별시, South Korea",37.5182127,127.0237111,Formation 8
26,0101000020E61000002DAC1BEF8E9D5DC0594FADBEBAFE4040,Vice Media,4,2013-08-17 00:00:00+00,United States,Media,"589 Venice Blvd, Los Angeles, CA 90291",33.990074,-118.461849,"Technology Crossover Ventures, A&E Television Networks"
28,0101000020E61000003046240A2D5B5E401C1EC2F869383F40,Ucar Group,3.6,2015-07-02 00:00:00+00,China,On-Demand,"Changning, Shanghai",31.220367,121.424624,"Legend Capital, Warburg Pincus"
23,0101000020E610000045AD7A0A4A995EC06D15698764E44240,Zenefits,4.5,2015-05-06 00:00:00+00,United States,Financial Technology,"North Tower, 303 Second Street #401, San Francisco, CA 94107",37.7843179,-122.3951441,"SV Angel, Institutional Venture Partners, Venrock"
27,0101000020E61000001F189BB1C3B75EC012A9C4D0454E4340,Social Finance,4,2015-02-03 00:00:00+00,United States,Financial Technology,"375 Healdsburg Ave #280, Healdsburg, CA 95448",38.6115056,-122.8713192,"Baseline Ventures, Doll Capital Management, Institutional Venture Partners"
32,0101000020E61000005BF0FD6893C62A40DC57D4168D414A40,Delivery Hero,3.1,2014-11-03 00:00:00+00,Germany,eCommerce/Marketplace,Mohrenstraße 60 10117 Berlin Germany,52.5121182,13.3878434,"Rocket Internet, Phenomen Ventures, Insight Venture Partners"
31,0101000020E610000042AF9A42C2995EC0103CBEBD6BE24240,Jawbone,3.3,2011-07-13 00:00:00+00,United States,Hardware,"99 Rhode Island St, San Francisco, CA 94103",37.768913,-122.4024817,"Mayfield Fund, Khosla Ventures, T-Venture"
33,0101000020E610000014B1886187E11840E09D7C7A6CD14840,Global Fashion Group,3.43,2015-04-08 00:00:00+00,Luxembourg,eCommerce/Marketplace,"5, Heienhaff Seningerberg Luxembourg, 1736 Luxembourg",49.636123,6.220243,"Access Industries, Rocket Internet, Tengelmann Ventures"
34,0101000020E610000046CCECF318F755C03980D99832124540,Fanatics,3.1,2012-06-06 00:00:00+00,United States,eCommerce/Marketplace,"725 Landwehr Rd, Northbrook, IL 60062",42.1421691,-87.860898,"Insight Venture Partners, Andreessen Horowitz, Temasek Holdings"
35,0101000020E6100000F22CF7B8A5985EC0A9EFFCA204D34240,Stemcentrx,3,2015-09-08 00:00:00+00,United States,Healthcare,"450 E Jamie Ct, South San Francisco, CA 94080",37.648579,-122.3851149,"Founders Fund, Artis Ventures"
36,0101000020E6100000F5413B4C201E5D401D22C90798E54340,VANCL,3,2010-12-14 00:00:00+00,China,eCommerce/Marketplace,"Luhua Rd, Daxing Qu, Beijing, China",39.7937021,116.4707213,"Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings"
37,0101000020E6100000944F8F6D19995EC03E8A84002AE54240,DocuSign,3,2014-03-04 00:00:00+00,United States,Internet Software & Services,"221 Main St, San Francisco, CA 94105",37.7903443,-122.392177,"Accel Partners, Bessemer Venture Partners, Ignition Partners"
38,0101000020E6100000ABFE52509BC551C0AA4B21EB042F4540,Moderna,3,2014-12-19 00:00:00+00,United States,Healthcare,"320 Bent Street, Cambridge, MA 02141",42.3673376,-71.0876046,"Flagship Ventures, Invus Group, Wellington Management"
39,0101000020E6100000C4584BA6AF995EC0386BF0BE2AE54240,ContextLogic (dba. Wish),3,2015-05-18 00:00:00+00,United States,eCommerce/Marketplace,"1 Sansome St. 40th Floor, San Francisco, CA 94104",37.790367,-122.4013458,"Founders Fund, GGV Capital, Digital Sky Technologies"
40,0101000020E6100000BEF6CC9200D52A408F8D40BCAE434A40,Hellofresh,2.9,2015-09-17 00:00:00+00,Germany,eCommerce/Marketplace,"Saarbrücker Str. 37A, 10405 Berlin, Germany",52.52877,13.41602,"Rocket Internet, Phenomen Ventures, Insight Venture Partners"
41,0101000020E6100000C0C01836EF995EC0DB04CE0825E44240,Slack Technologies,2.8,2014-10-31 00:00:00+00,United States,Internet Software & Services,"155 5th St, San Francisco, CA 94103",37.7823802,-122.4052253,"Google Ventures, Institutional Venture Partners, Index Ventures"
42,0101000020E6100000E0922DDC83805EC0453E54BF77B44240,Bloom Energy,2.7,2009-03-06 00:00:00+00,United States,Greentech,"1299 Orleans Dr, Sunnyvale, CA 94089",37.4099044,-122.0080481,"Kleiner Perkins Caufield & Byers, ATEL Ventures, DAG Ventures"
44,0101000020E6100000DB55A3B23C515340D81A00602B8D3C40,Snapdeal,2.5,2014-05-21 00:00:00+00,India,eCommerce/Marketplace,"246, Okhla Industrial Estate, Phase-III, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020, India",28.5514431,77.2693297,"Intel Capital, Kalaari Capital, Nexus Venture Partners"
47,0101000020E6100000B8F072C7518A5EC0D7D4C3E116B94240,Houzz,2.3,2014-09-30 00:00:00+00,United States,eCommerce/Marketplace,"310 University Ave, Palo Alto, CA 94301",37.4460108,-122.1612414,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
49,0101000020E61000003CD7529B938A5EC09797B2C2E3B84240,SurveyMonkey,2,2011-12-14 00:00:00+00,United States,Internet Software & Services,"101 Lytton Ave, Palo Alto, CA 94301",37.4444507,-122.1652592,"The Social+Capital Partnership, TPG Capital, Google Capital"
50,0101000020E6100000476EF2003B8E5EC055DCB8C5FCBE4240,Evernote,2,2012-05-24 00:00:00+00,United States,Internet Software & Services,"305 Walnut St, Redwood City, CA 94063",37.492089,-122.2223513,"Salesforce Ventures, Morgenthaler Ventures, New Enterprise Associates"
52,0101000020E610000030B43A39C3985DC045793073CB014140,NantHealth,2,2015-06-30 00:00:00+00,United States,Healthcare,"9920 Jefferson Blvd, Culver City, CA 90232, Leash Ln, Culver City, CA 90230",34.0140213,-118.3869155,"Verizon Communications, Celgene, Kuwait Investment Authority"
53,0101000020E61000004927B792C27A5EC0E66C4B2E10AF4240,Nutanix,2,2014-01-14 00:00:00+00,United States,Big Data,"1740 Technology Dr #150, San Jose, CA 95110",37.3676813,-121.9181258,"Battery Ventures, Khosla Ventures, Wellington Management"
55,0101000020E61000003CC8A1340A995EC04E9E0D5421E44240,Github,2,2015-07-30 00:00:00+00,United States,Internet Software & Services,"88 Colin P Kelly Jr St, San Francisco, CA 94107",37.7822671,-122.3912479,"Sequoia Capital, Thrive Capital, SV Angel"
56,0101000020E610000016A2E826D6995EC00DBED5DFB7E44240,Domo Technologies,2,2015-04-08 00:00:00+00,United States,Big Data,"717 Market St, San Francisco, CA 94103",37.7868614,-122.4036958,"Institutional Venture Partners, Benchmark Capital, Founders Fund"
57,0101000020E61000005ECCE039258C5C4059A5F44C2F4F3640,Trendy Group International,2,2012-02-13 00:00:00+00,China,Clothing & Accessories,"UNIT B, 18/F., GEMSTAR TOWER, 23 MAN LOK STREET, HUNGHOM, KOWLOON, HONG KONG",22.3093155,114.1897721,L Capital Partners
58,0101000020E6100000FF428F183D995EC0DA01D71533E44240,Instacart,2,2014-12-30 00:00:00+00,United States,On-Demand,"420 Bryant Street, San Francisco, CA",37.782809,-122.394354,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
30,0101000020E61000004D21A177F4995EC0F0CFFBB5ABE44240,Credit Karma,3.5,2014-09-29 00:00:00+00,United States,Financial Technology,"760 Market Street, San Francisco, CA",37.7864902,-122.4055461,"Felicis Ventures, SV Angel, Founders Fund"
43,0101000020E6100000E1B8E7548DB9B4BFC675429E13C24940,POWA Technologies,2.7,2014-11-07 00:00:00+00,United Kingdom,Financial Technology,"110 Bishopsgate, London EC2 4AY, United Kingdom",51.5162237,-0.0809563,"Bright Station Ventures, Wellington Management"
46,0101000020E61000002C6FFDAA12995EC043B74DA72BE44240,Adyen,2.3,2014-12-16 00:00:00+00,Netherlands,Financial Technology,"274 Brannan St #600, San Francisco, CA 94107",37.7825822,-122.3917644,"Felicis Ventures, Index Ventures, Temasek Holdings"
51,0101000020E61000005DC5E23785E855C06CC779A466F24440,Avant,2,2015-09-30 00:00:00+00,United States,Financial Technology,"640 N. La Salle Dr., Suite 535, Chicago, Illinois 60654",41.8937574,-87.633131,"RRE Ventures, Tiger Global, August Capital"
45,0101000020E6100000ED6C23F9A57258C0754474BE8E423E40,Mozido,2.39,2014-10-22 00:00:00+00,United States,Financial Technology,"1601 S MoPac Expy Suite 200, Austin, TX 78746",30.2599906,-97.7913802,"Wellington Management, TomorrowVentures, Mastercard Worldwide"
59,0101000020E6100000876B1041B0955EC051CBC5CECAF54240,Blue Apron,2,2015-06-09 00:00:00+00,United States,eCommerce/Marketplace,"3151 Regatta Blvd, Richmond, CA 94804",37.9202517,-122.3388827,"Bessemer Venture Partners, First Round Capital, BoxGroup"
60,0101000020E6100000518C8752560A54C0536A40CE450F3A40,Magic Leap,2,2014-10-21 00:00:00+00,United States,VR/AR,"1855 Griffin Rd B454, Dania Beach, FL 33004",26.0596589,-80.1615187,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
62,0101000020E610000004824AA6D47F52C0F711AE36B55C4440,Zocdoc,1.8,2015-08-20 00:00:00+00,United States,Healthcare,"568 Broadway #901, New York, NY 10012",40.7242802,-73.9973541,"Founders Fund, Khosla Ventures, Goldman Sachs"
63,0101000020E6100000809C3061B47F52C0CD177B2FBE5C4440,Oscar Health Insurance Co.,1.75,2015-04-20 00:00:00+00,United States,Healthcare,"295 Lafayette St, New York, NY 10012",40.724554,-73.9953845,"BoxGroup, Formation8, Khosla Ventures"
64,0101000020E6100000F28D8DE5029E5DC080249122D7034140,The Honest Company,1.7,2015-08-13 00:00:00+00,United States,eCommerce/Marketplace,"2700 Pennsylvania Ave Suite 1200, Santa Monica, CA 90404",34.0300029,-118.4689268,"General Catalyst Partners, Iconiq Capital, Lightspeed Venture Partners"
65,0101000020E610000035711706518A5EC01F0027CA94B84240,MongoDB,1.6,2013-10-04 00:00:00+00,United States,Big Data,"100 Forest Ave, Palo Alto, CA 94301",37.4420407,-122.1611953,"Intel Capital, Salesforce Ventures, Union Square Ventures"
66,0101000020E61000002F5118EF22A7024041F2295B7F704840,BlaBlaCar,1.6,2015-09-16 00:00:00+00,France,On-Demand,"32 Rue Blanche, 75009 Paris, France",48.8788866,2.3316096,"Accel Partners, Index Ventures, Insight Venture Partners"
67,0101000020E610000089DD2D7F749009C01C295B24EDF84B40,Skyscanner,1.6,2016-01-12 00:00:00+00,Scotland,Internet Software & Services,"Quartermile One, 15 Lauriston Pl, Edinburgh, Midlothian EH3 9EN, United Kingdom",55.944737,-3.1955347,"Sequoia Capital, Scottish Equity Partners, Yahoo"
68,0101000020E610000069A3DF63D5E95BC00EB27625131B4440,Insidesales.com,1.5,2014-04-28 00:00:00+00,United States,Big Data,"1712 E Bay Blvd e100, Provo, UT 84606",40.2115218,-111.6536493,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
69,0101000020E61000001A2A108736F755C064B8F072C7114540,Mu Sigma,1.5,2013-02-07 00:00:00+00,United States,Big Data,"3400 Dundee Rd, Suite 160 Northbrook, IL 60062",42.1388992,-87.8627031,"Sequoia Capital, General Atlantic"
70,0101000020E6100000AC376A85E9105E40FECEF6E80D2F3E40,GuaHao,1.5,2015-09-22 00:00:00+00,China,Healthcare,"Xiaoshan, Hangzhou, Zhejiang, China",30.183806,120.264253,"Tencent, Morningside Group"
71,0101000020E6100000BF21F9EFE6995EC0C0A21122CFE44240,MuleSoft,1.5,2015-05-19 00:00:00+00,United States,Internet Software & Services,"77 Geary St #400, San Francisco, CA 94108",37.7875712,-122.4047203,"New Enterprise Associates, Sapphire Ventures, Salesforce Ventures"
72,0101000020E610000042A1AF6A5A7F52C01D61623DFF5E4440,Buzzfeed,1.5,2015-08-18 00:00:00+00,United States,Media,"200 5th Ave (at W 23rd St), New York, NY 10010, United States",40.7421643,-73.9898936,"SV Angel, RRE Ventures, New Enterprise Associates"
73,0101000020E6100000056B9C4DC78152C02FE065868D5E4440,Jet.com,1.5,2015-11-04 00:00:00+00,United States,eCommerce/Marketplace,"8, 221 River St, Hoboken, NJ 07030",40.738694,-74.0277895,"Accel Partners, Thrive Capital, Norwest Venture Partners"
74,0101000020E6100000DE7536E49F624140ED574B4BF6074040,ironSource,1.5,2014-08-11 00:00:00+00,Israel,Mobile Software & Services,"28 Lilienblum, Tel Aviv, 6513307",32.0622038,34.7705045,"Access Industries, Clal Industries and Investments"
75,0101000020E610000072637AC2121A5D407AD7A02FBDF34340,Koudai Gouwu,1.4,2014-10-23 00:00:00+00,China,eCommerce/Marketplace,Beijing,39.904211,116.407395,"New Enterprise Associates, Tiger Global management, Tencent"
76,0101000020E6100000F7FE06EDD5765DC0282B86AB03004140,Jasper Technologies,1.4,2014-04-16 00:00:00+00,United States,Mobile Software & Services,"20509 Earlgate St, Walnut, CA 91789",34.000112,-117.856807,"DAG Ventures, Sequoia Capital, Benchmark Capital"
77,0101000020E61000009A73959375C351C068B85C58922D4540,DraftKings,1.35,2015-07-26 00:00:00+00,United States,Internet Software & Services,"State Street Bank Bldg, 225 Franklin St, Boston, Massachusetts 02110",42.3560286,-71.0540513,"Accomplice, GGV Capital, Redpoint Ventures"
78,0101000020E6100000344580D33B995EC08D2782380FE54240,Deem,1.35,2011-11-15 00:00:00+00,United States,Big Data,"21st Floor, 301 Howard St, San Francisco, CA 94105",37.789527,-122.3942765,"Empire Ventures, Foundational Capital, Oak Investment Partners"
79,0101000020E6100000AEB321FF4C9A5EC0ADD689CBF1E24240,Thumbtack,1.3,2015-09-29 00:00:00+00,United States,eCommerce/Marketplace,"360 9th St, San Francisco, CA 94103",37.773004,-122.4109495,"Tiger Global, Sequoia Capital, Google Capital"
